from_id,to_id,Spend,Quantity
CUST0000410727,PRD0900033,0.93,1
CUST0000770451,PRD0900302,0.39,1
CUST0000770451,PRD0900531,0.31,1
CUST0000770451,PRD0900830,0.97,1
CUST0000770451,PRD0901988,4.49,1
CUST0000770451,PRD0903052,0.35,1
CUST0000770451,PRD0903228,0.89,1
CUST0000770451,PRD0903469,1.29,1
CUST0000770451,PRD0903542,0.57,1
CUST0000770451,PRD0904045,1.16,1
CUST0000770451,PRD0904245,1.16,1
CUST0000770451,PRD0904257,1.29,1
CUST0000410727,PRD0904516,1.28,1
CUST0000410727,PRD0902981,3.34,1
CUST0000353957,PRD0900121,2.94,3
CUST0000353957,PRD0900121,2.94,3
CUST0000353957,PRD0900121,2.94,3
CUST0000715467,PRD0900121,0.98,1
CUST0000089820,PRD0900167,0.17,1
CUST0000089820,PRD0900302,1.45,1
CUST0000353957,PRD0900388,1.03,1
CUST0000089820,PRD0900531,1.25,1
CUST0000715467,PRD0900753,0.22,1
CUST0000353957,PRD0901008,2.16,1
CUST0000353957,PRD0901039,2.2,1
CUST0000089820,PRD0901228,0.72,1
CUST0000089820,PRD0901265,1.69,1
CUST0000353957,PRD0901416,0.69,1
CUST0000715467,PRD0901496,0.81,1
CUST0000353957,PRD0901637,1.46,1
CUST0000089820,PRD0901672,0.53,1
CUST0000353957,PRD0901712,1.39,1
CUST0000089820,PRD0901878,0.23,1
CUST0000715467,PRD0901878,0.2,1
CUST0000353957,PRD0902029,1.0,1
CUST0000715467,PRD0902053,2.28,3
CUST0000353957,PRD0902111,0.7,1
CUST0000353957,PRD0902212,1.25,1
CUST0000089820,PRD0902218,2.38,7
CUST0000353957,PRD0902266,0.41,1
CUST0000353957,PRD0902479,1.03,1
CUST0000353957,PRD0902581,1.48,1
CUST0000089820,PRD0902692,1.35,1
CUST0000089820,PRD0902708,0.53,1
CUST0000715467,PRD0902808,0.94,1
CUST0000089820,PRD0902863,1.16,1
CUST0000715467,PRD0902891,0.57,1
CUST0000353957,PRD0902895,0.42,1
CUST0000089820,PRD0902897,0.35,1
CUST0000353957,PRD0903021,0.94,1
CUST0000089820,PRD0903052,0.75,1
CUST0000715467,PRD0903052,1.76,1
CUST0000353957,PRD0903074,2.02,2
CUST0000353957,PRD0903074,2.02,2
CUST0000715467,PRD0903246,1.22,1
CUST0000715467,PRD0903269,0.91,1
CUST0000353957,PRD0903382,5.46,3
CUST0000353957,PRD0903390,5.85,3
CUST0000715467,PRD0903395,1.14,1
CUST0000715467,PRD0903518,4.17,3
CUST0000353957,PRD0903676,0.86,1
CUST0000353957,PRD0903774,2.14,1
CUST0000715467,PRD0903867,1.93,1
CUST0000353957,PRD0903959,0.8,1
CUST0000353957,PRD0903980,1.0,1
CUST0000715467,PRD0903994,1.36,1
CUST0000353957,PRD0904035,1.54,2
CUST0000353957,PRD0904035,1.54,2
CUST0000715467,PRD0904212,0.19,1
CUST0000353957,PRD0904394,0.62,1
CUST0000715467,PRD0904421,0.97,1
CUST0000715467,PRD0904599,1.88,4
CUST0000089820,PRD0904722,1.6,1
CUST0000089820,PRD0904744,0.46,1
CUST0000353957,PRD0904761,0.54,1
CUST0000089820,PRD0904828,1.68,1
CUST0000353957,PRD0904990,2.01,1
CUST0000089820,PRD0902277,0.53,1
CUST0000353957,PRD0900266,1.79,1
CUST0000353957,PRD0902129,3.02,1
CUST0000353957,PRD0902251,1.07,1
CUST0000715467,PRD0901348,2.06,1
CUST0000444515,PRD0900003,1.14,1
CUST0000143602,PRD0900203,0.62,1
CUST0000626899,PRD0900275,1.6,1
CUST0000577810,PRD0900302,0.62,1
CUST0000215521,PRD0900354,1.5,1
CUST0000215521,PRD0900531,1.61,1
CUST0000215521,PRD0900567,1.24,1
CUST0000143602,PRD0900595,0.47,1
CUST0000215521,PRD0900898,2.19,1
CUST0000626899,PRD0900911,1.44,1
CUST0000215521,PRD0901265,1.77,1
CUST0000215521,PRD0901485,1.28,1
CUST0000143602,PRD0901637,1.46,1
CUST0000577810,PRD0901887,0.86,1
CUST0000143602,PRD0902108,0.52,1
CUST0000143602,PRD0902224,1.21,1
CUST0000215521,PRD0902482,0.45,1
CUST0000143602,PRD0902953,2.51,1
CUST0000215521,PRD0903052,0.76,1
CUST0000143602,PRD0903147,1.95,1
CUST0000215521,PRD0903204,0.24,1
CUST0000143602,PRD0903423,0.83,1
CUST0000215521,PRD0903677,5.61,3
CUST0000215521,PRD0903788,0.75,1
CUST0000143602,PRD0903998,0.87,3
CUST0000143602,PRD0904004,0.67,1
CUST0000143602,PRD0904358,6.16,4
CUST0000143602,PRD0904360,1.75,1
CUST0000444515,PRD0904425,1.09,1
CUST0000143602,PRD0904505,0.36,1
CUST0000577810,PRD0904755,4.02,1
CUST0000577810,PRD0903943,3.93,3
CUST0000872856,PRD0900097,3.09,3
CUST0000543889,PRD0900194,1.24,1
CUST0000872856,PRD0900302,1.26,1
CUST0000872856,PRD0900324,8.0,1
CUST0000872856,PRD0900327,0.54,1
CUST0000872856,PRD0900383,2.2,1
CUST0000872856,PRD0900496,1.74,1
CUST0000872856,PRD0900579,2.03,1
CUST0000543889,PRD0900603,1.31,1
CUST0000872856,PRD0900608,1.32,1
CUST0000872856,PRD0900666,3.44,4
CUST0000872856,PRD0900699,1.14,1
CUST0000543889,PRD0900830,0.97,1
CUST0000872856,PRD0900830,0.97,1
CUST0000543889,PRD0900841,0.01,1
CUST0000872856,PRD0901123,4.23,3
CUST0000872856,PRD0901569,3.57,3
CUST0000543889,PRD0901712,1.39,1
CUST0000872856,PRD0901744,2.04,3
CUST0000872856,PRD0901761,1.05,1
CUST0000872856,PRD0901783,3.21,3
CUST0000872856,PRD0902029,1.0,1
CUST0000872856,PRD0902094,0.33,1
CUST0000872856,PRD0902308,0.35,1
CUST0000543889,PRD0902347,3.64,4
CUST0000872856,PRD0902408,1.26,1
CUST0000543889,PRD0902470,1.65,1
CUST0000543889,PRD0902540,0.57,1
CUST0000872856,PRD0902540,0.7,1
CUST0000872856,PRD0902557,6.33,1
CUST0000543889,PRD0902559,2.09,1
CUST0000872856,PRD0902599,2.28,1
CUST0000872856,PRD0902692,1.35,1
CUST0000543889,PRD0902975,6.48,6
CUST0000872856,PRD0903033,5.4,4
CUST0000543889,PRD0903052,0.37,1
CUST0000872856,PRD0903057,2.67,3
CUST0000872856,PRD0903078,1.75,5
CUST0000872856,PRD0903081,1.81,1
CUST0000872856,PRD0903223,1.94,1
CUST0000872856,PRD0903228,0.89,1
CUST0000872856,PRD0903250,1.11,1
CUST0000543889,PRD0903329,1.46,1
CUST0000872856,PRD0903452,4.11,3
CUST0000543889,PRD0903516,1.42,1
CUST0000872856,PRD0903542,1.71,3
CUST0000872856,PRD0903564,2.52,4
CUST0000872856,PRD0903620,0.47,1
CUST0000872856,PRD0903759,0.95,1
CUST0000872856,PRD0903783,0.95,1
CUST0000872856,PRD0903788,0.75,1
CUST0000872856,PRD0903806,1.39,1
CUST0000543889,PRD0903867,5.79,3
CUST0000543889,PRD0903991,0.17,1
CUST0000872856,PRD0903991,0.68,4
CUST0000872856,PRD0904091,0.86,1
CUST0000543889,PRD0904194,3.3,6
CUST0000872856,PRD0904211,2.57,1
CUST0000872856,PRD0904241,0.26,1
CUST0000872856,PRD0904243,1.17,1
CUST0000872856,PRD0904289,2.37,3
CUST0000543889,PRD0904358,1.54,1
CUST0000872856,PRD0904531,0.53,1
CUST0000872856,PRD0904564,2.16,1
CUST0000872856,PRD0904615,3.27,1
CUST0000872856,PRD0904664,3.75,1
CUST0000872856,PRD0904819,3.4,4
CUST0000872856,PRD0904936,1.07,1
CUST0000872856,PRD0904962,2.09,1
CUST0000543889,PRD0904976,1.49,1
CUST0000872856,PRD0901269,2.64,3
CUST0000872856,PRD0904349,3.37,1
CUST0000872856,PRD0900616,2.09,1
CUST0000872856,PRD0900249,2.36,1
CUST0000872856,PRD0902626,0.86,1
CUST0000790691,PRD0900065,1.0,1
CUST0000079790,PRD0900349,1.42,1
CUST0000790691,PRD0900372,0.76,1
CUST0000790691,PRD0900456,0.88,1
CUST0000790691,PRD0900531,2.58,1
CUST0000790691,PRD0900774,1.28,1
CUST0000790691,PRD0900830,0.97,1
CUST0000790691,PRD0901003,2.91,3
CUST0000790691,PRD0901056,1.97,1
CUST0000790691,PRD0901203,2.18,1
CUST0000790691,PRD0901311,1.26,6
CUST0000790691,PRD0901475,0.88,1
CUST0000079790,PRD0901507,1.61,1
CUST0000790691,PRD0901821,0.35,1
CUST0000790691,PRD0901871,2.11,1
CUST0000790691,PRD0902278,1.87,1
CUST0000790691,PRD0902318,0.36,1
CUST0000790691,PRD0902610,1.27,1
CUST0000790691,PRD0902969,2.04,1
CUST0000729898,PRD0902991,2.22,1
CUST0000790691,PRD0903003,1.59,1
CUST0000790691,PRD0903050,1.12,1
CUST0000790691,PRD0903052,1.08,1
CUST0000790691,PRD0903630,0.27,1
CUST0000790691,PRD0903677,1.87,1
CUST0000790691,PRD0904044,0.56,1
CUST0000790691,PRD0904321,0.83,1
CUST0000790691,PRD0904487,4.68,4
CUST0000790691,PRD0904744,0.46,1
CUST0000790691,PRD0904748,1.06,1
CUST0000790691,PRD0904876,0.87,1
CUST0000790691,PRD0904934,0.9,1
CUST0000790691,PRD0904408,2.01,1
CUST0000790691,PRD0904497,0.01,1
CUST0000079790,PRD0902249,0.93,1
CUST0000557389,PRD0902060,1.53,3
CUST0000557389,PRD0902060,1.53,3
CUST0000557389,PRD0902060,1.53,3
CUST0000557389,PRD0902124,1.77,1
CUST0000557389,PRD0903264,1.56,1
CUST0000557389,PRD0903446,0.89,1
CUST0000557389,PRD0903571,1.63,1
CUST0000557389,PRD0904367,1.44,4
CUST0000557389,PRD0904367,1.44,4
CUST0000697836,PRD0900015,0.67,1
CUST0000697836,PRD0900615,5.01,3
CUST0000746234,PRD0900691,1.15,1
CUST0000178093,PRD0902049,0.25,1
CUST0000967987,PRD0902099,1.51,1
CUST0000697836,PRD0902518,4.98,6
CUST0000697836,PRD0902889,1.83,3
CUST0000967987,PRD0903806,1.39,1
CUST0000697836,PRD0903942,2.21,1
CUST0000746234,PRD0904004,0.62,1
CUST0000746234,PRD0904250,2.49,1
CUST0000697836,PRD0904315,0.42,1
CUST0000746234,PRD0904358,1.54,1
CUST0000967987,PRD0904358,1.54,1
CUST0000967987,PRD0904421,1.94,2
CUST0000967987,PRD0904421,1.94,2
CUST0000746234,PRD0904547,0.63,1
CUST0000697836,PRD0904724,0.06,1
CUST0000252338,PRD0900121,0.98,1
CUST0000696851,PRD0900159,1.83,1
CUST0000696851,PRD0900177,0.87,1
CUST0000779812,PRD0900753,0.22,1
CUST0000696851,PRD0900774,1.28,1
CUST0000696851,PRD0900859,0.71,1
CUST0000696851,PRD0901136,0.96,1
CUST0000696851,PRD0901663,1.25,1
CUST0000696851,PRD0901878,0.25,1
CUST0000696851,PRD0901896,1.88,1
CUST0000696851,PRD0901906,2.16,1
CUST0000696851,PRD0901912,2.36,1
CUST0000696851,PRD0902049,0.25,1
CUST0000696851,PRD0902056,0.9,1
CUST0000696851,PRD0902109,1.27,1
CUST0000696851,PRD0902234,2.61,1
CUST0000696851,PRD0903052,0.73,1
CUST0000779812,PRD0903810,2.23,1
CUST0000779812,PRD0904162,1.11,1
