Household_ID,Product_Category
22,CONDIMENTS/SAUCES
22,CHEESE
22,FRZN MEAT/MEAT DINNERS
22,COLD CEREAL
22,COUPON/MISC ITEMS
22,REFRGRATD JUICES/DRNKS
22,SOUP
22,BAG SNACKS
22,TROPICAL FRUIT
22,VEGETABLES - SHELF STABLE
22,LUNCHMEAT
22,FLUID MILK PRODUCTS
22,COFFEE
22,CANDY - PACKAGED
22,BEEF
22,BAKED BREAD/BUNS/ROLLS
22,SOFT DRINKS
157,CANDY - CHECKLANE
157,BAKED BREAD/BUNS/ROLLS
157,COLD CEREAL
157,WATER - CARBONATED/FLVRD DRINK
157,REFRGRATD JUICES/DRNKS
157,CHEESE
157,VEGETABLES - SHELF STABLE
157,YOGURT
157,BEEF
157,FLUID MILK PRODUCTS
157,SOUP
157,SOFT DRINKS
157,ICE CREAM/MILK/SHERBTS
157,BAG SNACKS
157,TROPICAL FRUIT
157,CANDY - PACKAGED
157,CONDIMENTS/SAUCES
301,SOUP
301,LUNCHMEAT
301,HISPANIC
301,YOGURT
301,BEEF
301,COFFEE
301,BAKED BREAD/BUNS/ROLLS
301,REFRGRATD JUICES/DRNKS
301,FRZN VEGETABLE/VEG DSH
301,FRZN MEAT/MEAT DINNERS
301,MEAT - SHELF STABLE
301,COLD CEREAL
301,TROPICAL FRUIT
301,VEGETABLES - SHELF STABLE
301,BAKED SWEET GOODS
609,SOFT DRINKS
609,MEAT - SHELF STABLE
609,BAKED SWEET GOODS
609,REFRGRATD JUICES/DRNKS
609,CANDY - CHECKLANE
609,BAKED BREAD/BUNS/ROLLS
609,WATER - CARBONATED/FLVRD DRINK
609,FLUID MILK PRODUCTS
609,LUNCHMEAT
609,COFFEE
609,COUPON/MISC ITEMS
609,CANDY - PACKAGED
609,BAG SNACKS
609,BEEF
609,CHEESE
609,TROPICAL FRUIT
1297,FRZN VEGETABLE/VEG DSH
1297,BAG SNACKS
1297,SOFT DRINKS
1297,VEGETABLES - SHELF STABLE
1297,WATER - CARBONATED/FLVRD DRINK
1297,TROPICAL FRUIT
1297,YOGURT
1297,CHEESE
1297,COUPON/MISC ITEMS
1297,BAKED BREAD/BUNS/ROLLS
1297,FLUID MILK PRODUCTS
1297,CANDY - CHECKLANE
1297,COLD CEREAL
1382,BAKED BREAD/BUNS/ROLLS
1382,BAKED SWEET GOODS
1382,SOFT DRINKS
1382,YOGURT
1382,WATER - CARBONATED/FLVRD DRINK
1382,SOUP
1382,CHEESE
1382,CANDY - CHECKLANE
1382,LUNCHMEAT
1382,BEEF
1382,FRZN MEAT/MEAT DINNERS
1382,FLUID MILK PRODUCTS
1382,VEGETABLES - SHELF STABLE
1382,HISPANIC
1382,BAG SNACKS
1382,REFRGRATD JUICES/DRNKS
1382,CONDIMENTS/SAUCES
1382,TROPICAL FRUIT
1382,COLD CEREAL
1485,YOGURT
1485,FRZN MEAT/MEAT DINNERS
1485,COFFEE
1485,VEGETABLES - SHELF STABLE
1485,BAG SNACKS
1485,WATER - CARBONATED/FLVRD DRINK
1485,SOFT DRINKS
1485,COLD CEREAL
1485,CANDY - PACKAGED
1485,TROPICAL FRUIT
1485,BEEF
1485,CHEESE
1485,FLUID MILK PRODUCTS
1485,REFRGRATD JUICES/DRNKS
1485,CONDIMENTS/SAUCES
1485,ICE CREAM/MILK/SHERBTS
1485,CANDY - CHECKLANE
1485,BAKED BREAD/BUNS/ROLLS
1873,YOGURT
1873,BAG SNACKS
1873,HISPANIC
1873,COLD CEREAL
1873,FLUID MILK PRODUCTS
1873,REFRGRATD JUICES/DRNKS
1873,TROPICAL FRUIT
1873,CHEESE
1873,CANDY - CHECKLANE
1873,COUPON/MISC ITEMS
1873,SOFT DRINKS
1873,BAKED BREAD/BUNS/ROLLS
1873,FRZN VEGETABLE/VEG DSH
1873,LUNCHMEAT
1873,CANDY - PACKAGED
1873,MEAT - SHELF STABLE
1873,FRZN MEAT/MEAT DINNERS
1873,CONDIMENTS/SAUCES
1873,BAKED SWEET GOODS
2097,COUPON/MISC ITEMS
2097,COLD CEREAL
2097,SOFT DRINKS
2097,FRZN MEAT/MEAT DINNERS
2097,BEEF
2097,FLUID MILK PRODUCTS
2097,ICE CREAM/MILK/SHERBTS
2097,SOUP
2097,BAKED BREAD/BUNS/ROLLS
2097,REFRGRATD JUICES/DRNKS
2097,COFFEE
2097,BAG SNACKS
2097,CHEESE
2097,BAKED SWEET GOODS
2097,FRZN VEGETABLE/VEG DSH
2390,SOUP
2390,BAG SNACKS
2390,CHEESE
2390,CANDY - PACKAGED
2390,SOFT DRINKS
2390,CANDY - CHECKLANE
2390,LUNCHMEAT
2390,BAKED BREAD/BUNS/ROLLS
2390,FLUID MILK PRODUCTS
2390,MEAT - SHELF STABLE
2390,CONDIMENTS/SAUCES
2390,BEEF
2390,COLD CEREAL
2390,HISPANIC
